,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Whitianga,52,NZ,1580271059,77,-36.83,175.7,73.63,3.8
376,Buala,100,SB,1580270964,69,-8.14,159.59,86.74,7.54
377,Ostrovnoy,18,RU,1580271061,93,68.05,39.51,3.87,4.25
378,Gobabis,0,,1580270936,20,-22.45,18.97,67.59,4.03
379,Ledyard,90,US,1580270874,55,41.44,-72.01,34.3,10.29
380,Aki,20,JP,1580271065,44,33.5,133.9,59.0,16.11
381,La Ligua,40,CL,1580271066,88,-32.45,-71.23,62.6,4.7
382,Auki,100,SB,1580271067,71,-8.77,160.7,85.28,4.74
383,Kismayo,33,SO,1580270854,79,-0.36,42.55,80.69,20.54
384,Chifeng,99,CN,1580270989,58,42.27,118.96,19.96,14.05
385,Ellisras,0,ZA,1580271071,82,-23.66,27.74,64.22,4.76
386,Nikolayevsk-on-Amure,0,RU,1580271072,82,53.14,140.73,8.51,4.14
387,Ocos,40,GT,1580271073,94,14.51,-92.19,73.4,4.21
388,Nueva Gerona,0,CU,1580271075,78,21.88,-82.8,76.77,6.46
389,Bage,65,BR,1580271076,83,-31.33,-54.11,67.89,9.17
390,Santiago del Estero,10,AR,1580271064,49,-27.8,-64.26,80.46,10.11
391,Krasnovishersk,100,RU,1580271078,98,60.41,57.08,-16.73,4.61
392,Mayumba,100,GA,1580271080,81,-3.43,10.66,81.95,10.4
393,Varhaug,90,NO,1580271081,93,58.61,5.65,34.45,6.93
394,Sungaipenuh,100,ID,1580270802,95,-2.08,101.38,61.18,5.06
395,Kahului,40,US,1580270930,51,20.89,-156.47,74.1,13.87
396,Wladyslawowo,75,PL,1580271084,100,54.79,18.4,35.49,14.99
397,Luderitz,0,,1580271086,78,-26.65,15.16,65.01,27.81
398,Luanda,75,AO,1580271087,83,-8.84,13.23,80.6,5.82
399,Vila Franca do Campo,75,PT,1580270867,82,37.72,-25.43,64.4,25.28
400,Farah,0,AF,1580271006,74,32.5,62.5,34.41,1.86
401,Road Town,20,VG,1580271090,74,18.42,-64.62,77.92,6.93
402,Kalmunai,65,LK,1580271092,72,7.42,81.82,79.61,11.61
403,Muros,75,ES,1580271094,100,42.78,-9.06,55.67,10.29
404,Belaya Gora,94,RU,1580271096,84,68.53,146.42,-23.37,6.42
405,Kamenskiy,100,RU,1580271097,97,50.89,45.49,30.27,12.17
406,Georgiyevskoye,100,RU,1580271098,93,58.73,45.02,6.73,8.14
407,Saint-Francois,100,FR,1580271002,75,46.42,3.91,44.28,9.17
408,Poyarkovo,9,RU,1580271101,91,49.6,128.68,0.18,8.14
409,Bandarbeyla,1,SO,1580271104,72,9.49,50.81,73.63,22.44
410,Urman,98,RU,1580271105,97,54.88,56.87,-5.57,2.37
411,Guia de Isora,100,ES,1580271106,46,28.21,-16.78,57.09,3.36
412,Anantapur,50,IN,1580271107,57,14.68,77.6,76.95,5.14
413,Oranjemund,34,,1580271108,94,-28.55,16.43,60.17,8.84
414,Pisco,90,PE,1580270943,73,-13.7,-76.22,76.5,4.7
415,La Orilla,56,MX,1580271111,71,17.98,-102.23,70.57,1.74
416,Myshkin,100,RU,1580271112,91,57.79,38.45,19.51,7.38
417,San Rafael,100,AR,1580271113,65,-34.62,-68.33,69.93,7.25
418,Aden,49,YE,1580271115,70,12.78,45.04,71.71,13.22
419,Adrar,0,MR,1580270906,26,20.5,-10.07,68.59,11.95
420,Zhuhai,0,CN,1580271117,58,22.28,113.57,56.97,19.46
421,Carutapera,90,BR,1580271118,81,-1.2,-46.02,81.91,12.86
422,Ulagan,100,RU,1580271120,90,50.63,87.96,2.57,6.2
423,Santa Barbara,1,US,1580271121,31,34.42,-119.7,57.18,12.75
424,Mogadishu,0,SO,1580270985,80,2.04,45.34,78.22,25.34
425,Voh,10,NC,1580271125,77,-20.97,164.7,80.19,13.91
426,Kamenka,100,RU,1580271128,97,51.32,42.77,34.0,5.01
427,San Patricio,0,MX,1580271130,63,19.22,-104.7,76.05,4.29
428,Sistranda,75,NO,1580271131,69,63.73,8.83,36.75,17.22
429,Baruun-Urt,90,MN,1580271132,88,46.68,113.28,2.77,1.88
430,Poretskoye,100,RU,1580271134,92,55.2,46.33,18.1,11.7
431,Chalus,22,IR,1580271135,34,36.66,51.42,35.6,5.46
432,Mbandaka,63,CD,1580271136,46,0.05,18.26,72.27,2.13
433,Torbay,90,CA,1580270851,100,47.67,-52.73,29.28,5.82
434,Olafsvik,0,IS,1580270863,76,64.89,-23.71,30.63,14.2
435,Rawson,0,AR,1580271139,59,-43.3,-65.1,59.77,17.94
436,Skibbereen,20,IE,1580271141,86,51.55,-9.27,39.2,11.41
437,Port Hardy,90,CA,1580271142,81,50.7,-127.42,44.6,21.92
438,Matamoros,5,MX,1580271143,16,25.53,-103.25,64.4,9.17
439,Champerico,0,GT,1580271144,78,14.3,-91.92,75.02,4.21
440,Abeokuta,67,NG,1580271146,94,7.15,3.35,75.2,4.7
441,Caranavi,100,BO,1580271147,96,-15.82,-67.55,60.98,2.68
442,Nyrob,99,RU,1580271148,99,60.73,56.72,-20.09,4.59
443,Egvekinot,100,RU,1580271149,81,66.32,-179.17,-5.96,0.74
444,Beidao,51,CN,1580271151,38,34.57,105.89,36.95,1.52
445,Waipawa,20,NZ,1580271152,60,-41.41,175.52,71.22,14.99
446,Bareilly,23,IN,1580271153,87,28.35,79.42,57.45,7.14
447,Blackwater,100,AU,1580271154,55,-23.58,148.88,87.75,12.26
448,Murdochville,0,CA,1580271155,94,48.96,-65.5,4.08,2.73
449,Pahrump,1,US,1580271157,39,36.21,-115.98,47.57,3.36
450,Puerto Baquerizo Moreno,16,EC,1580271158,87,-0.9,-89.6,76.84,9.69
451,Francistown,0,BW,1580271159,100,-21.17,27.51,62.6,1.12
452,Zaysan,97,KZ,1580271160,79,47.47,84.87,15.26,3.36
453,Rio Gallegos,87,AR,1580271161,61,-51.62,-69.22,46.4,21.92
454,Minden,75,DE,1580271162,80,52.28,8.92,39.31,16.11
455,Lavrentiya,0,RU,1580271164,67,65.58,-171.0,-12.53,8.75
456,Pitimbu,40,BR,1580271165,88,-7.47,-34.81,78.8,3.36
457,Mossamedes,100,AO,1580271166,77,-15.2,12.15,75.15,7.81
458,Gamba,99,GA,1580271167,89,-2.65,10.0,78.04,1.74
459,Roald,100,NO,1580271005,64,62.58,6.13,33.8,4.7
460,Ballina,50,AU,1580271169,62,-28.87,153.57,92.21,9.17
461,Pingliang,0,CN,1580271171,27,35.54,106.69,30.36,1.81
462,Saldanha,92,ZA,1580271172,88,-33.01,17.94,64.4,9.17
463,Nigde,86,TR,1580271173,91,37.83,34.75,23.86,4.12
464,Mlonggo,20,ID,1580271174,62,-6.53,110.7,90.37,10.29
465,Makakilo City,20,US,1580271175,61,21.35,-158.09,76.73,9.17
466,Mizoch,79,UA,1580271176,85,50.4,26.15,35.94,3.11
467,Elliot,17,ZA,1580271178,72,-31.33,27.85,48.92,1.52
468,Rudbar,0,AF,1580271179,61,30.15,62.6,39.88,2.91
469,Matay,0,EG,1580271180,73,28.42,30.78,45.32,5.17
470,Tiznit,0,MA,1580271181,30,29.58,-9.5,54.82,6.71
471,Nogliki,68,RU,1580271182,81,51.83,143.17,8.08,5.48
472,Mayya,0,RU,1580271184,65,61.73,130.28,-34.6,4.47
473,Abha,40,SA,1580271185,87,18.22,42.51,52.65,12.75
474,Huambo,100,AO,1580271186,96,-12.78,15.74,59.59,0.92
475,Biak,46,ID,1580271187,81,-0.91,122.88,82.69,10.31
476,Agadez,100,NE,1580271188,15,19.75,10.25,67.23,7.2
477,Saint-Pierre,18,RE,1580271189,54,-21.34,55.48,77.31,3.36
478,Askiz,100,RU,1580271124,82,53.13,90.53,20.08,7.02
479,Ambilobe,100,MG,1580271192,92,-13.2,49.05,75.24,2.8
480,Polson,90,US,1580271193,93,47.69,-114.16,31.84,3.36
481,Brigantine,90,US,1580271194,64,39.41,-74.36,38.16,5.82
482,Coronini,100,RS,1580271195,93,44.68,21.69,39.09,6.93
483,Lagoa,12,PT,1580270997,91,39.05,-27.98,62.64,22.48
484,Grindavik,0,IS,1580271198,86,63.84,-22.43,27.54,8.05
485,Cao Bang,100,VN,1580270911,69,22.67,106.25,51.76,0.96
486,Mana,40,GF,1580271200,91,5.66,-53.78,75.76,3.02
487,Tallahassee,20,US,1580271013,93,30.44,-84.28,42.48,2.19
488,Verkhnyaya Balkariya,90,RU,1580271202,100,43.13,43.46,30.15,4.47
489,Salalah,0,OM,1580271108,22,17.02,54.09,64.4,14.99
490,Bulancak,75,TR,1580271205,87,40.94,38.23,50.0,8.05
491,Hay River,90,CA,1580271206,84,60.82,-115.8,-0.4,4.7
492,Victor Harbor,0,AU,1580270947,25,-35.57,138.62,91.04,6.93
493,Ekuvukeni,86,ZA,1580271208,82,-28.47,30.16,55.69,2.21
494,Talaya,100,RU,1580271209,94,61.38,152.75,-14.08,4.7
495,Olhao,75,PT,1580271211,93,37.03,-7.84,55.4,6.93
496,Baiao,84,BR,1580271212,98,-2.79,-49.67,72.73,2.24
497,Bani Walid,0,LY,1580270946,58,31.76,13.99,52.12,6.49
498,Beyneu,95,KZ,1580271214,86,45.32,55.2,36.14,8.37
499,Mayor Pablo Lagerenza,43,PY,1580271215,58,-19.93,-60.77,80.76,5.21
500,Pangody,100,RU,1580271216,95,65.85,74.49,-6.74,15.73
501,Andapa,99,MG,1580271218,98,-14.65,49.65,66.31,0.74
502,Churapcha,0,RU,1580271219,95,62.0,132.43,-23.96,4.99
503,Nileshwar,20,IN,1580271220,83,12.25,75.1,77.0,5.82
504,Zharkent,82,KZ,1580271221,90,44.16,80.0,15.26,7.05
505,Finote Selam,65,ET,1580271222,39,10.7,37.27,52.84,2.77
506,Indianola,90,US,1580271223,92,41.36,-93.56,19.63,5.82
507,Bolitoc,83,PH,1580271225,53,15.74,119.88,79.86,7.7
508,Dhadar,0,IN,1580271226,56,28.33,75.06,56.7,4.21
509,Vanavara,100,RU,1580271142,95,60.34,102.28,13.48,2.77
510,Bad Orb,20,DE,1580271228,93,50.23,9.35,35.56,10.29
511,Griffith,90,US,1580271229,86,41.53,-87.42,30.31,3.53
512,Lang Suan,20,TH,1580271231,65,9.95,99.08,82.4,5.82
513,Severnyy,90,RU,1580271232,100,50.68,36.55,33.8,6.71
514,Haines Junction,55,CA,1580270959,94,60.75,-137.51,7.07,4.88
515,Verkhnevilyuysk,90,RU,1580271172,89,63.45,120.32,3.51,5.59
516,Townsville,75,AU,1580271235,100,-19.25,146.8,77.0,8.05
517,Batticaloa,97,LK,1580271236,76,7.71,81.69,76.33,1.66
518,Manaure,66,CO,1580271238,84,11.78,-72.44,78.87,17.69
519,Udachny,0,RU,1580271239,77,66.42,112.4,-0.4,4.47
520,Arrondissement de Langres,100,FR,1580271240,86,47.83,5.33,40.33,8.05
521,Jacmel,85,HT,1580271241,73,18.23,-72.53,77.0,2.24
522,Matara,53,LK,1580271242,74,5.95,80.54,75.18,7.49
523,Ylivieska,100,FI,1580271243,92,64.08,24.67,22.64,4.0
524,Amuntai,85,ID,1580271245,74,-2.42,115.25,86.09,2.42
525,Saint-Augustin,0,CA,1580271246,88,51.23,-58.65,10.85,9.64
526,Sinnamary,96,GF,1580271247,84,5.38,-52.95,80.24,18.59
527,Manaira,62,BR,1580271248,80,-7.71,-38.15,74.32,4.99
528,Tigil,54,RU,1580271249,89,57.8,158.67,17.35,7.09
529,'Ahuimanu,75,US,1580271250,74,21.44,-157.84,76.59,10.29
530,Male,75,MV,1580271252,70,4.17,73.51,84.2,12.75
